FLAG	KEY	EN	FR	ES	IND	KM	AR	TR	ET	RU	GE	HU	IT	SR	ZH	DE
PHP	FIELD_TYPE	Field type	Type de champ	Tipo de campo	Jenis field	ប្រភេទ​ខ្ទង់	نوع الخانة	Alan Türü	Välja tüüp	Тип поля	მინდვრის ტიპი	Mező típusa	Tipo di campo	Vrsta polja	栏目的类型	Feldtyp
PHP	FILE_IS_NOT_WRITABLE_	File is not writable.	Le fichier n'est pas modifiable.	El archivo no permite escritura	File tidak dapat disalin	ឯកសារ​នេះ​មិន​អាច​ថត​ចំលង​បាន​ទេ។	لا يمكن النسخ على الملف	Alan yazılabilir değil.	Väli pole kirjutatav	Файл недоступен для записи.	ფაილში ჩაწერა შეუძლებელია	Mező nem írható	Il file non è scrivibile	Upisivanje u fajl onemogućeno	文件不可被改写	Datei nicht schreibar.
PHP	FILE_UPLOAD_STOPPED_BY_EXTENSION_	File upload stopped by extension.	Chargement de fichier arrêté en cause de son extension	Se detuvo la carga del archivo por su extensión	File yang diunggah dihentikan oleh ekstensi	ការ​ដាក់​បញ្ចូល​ឯកសារ​ត្រូវ​បាន​បញ្ឈប់​ដោយការ​ពង្រីក	تم إيقاف تحميل الملف بسبب إمتدادة الملف	Dosya yüklemesi başka bir program nedeniyle durdu.	Faili üles laadimise peatas laiend	Загрузка файла остановлена расширением.	ფაილის ჩატვირთვა შეჩერებულია პროგრამული გაფართოების გამო	A fájl feltöltését megakadályozta egy kiegészítő.	Caricamento del File interrotto dall'estensione	Otpremanje fajla zaustavljeno zbog ekstenzije	文件上传被附加软件停止。	Datei Hochladen angehalten durch Verlängerung
PHP	FILTER	Filter	Filtre	Filtro	Saringan	ច្រោះ​ពត៌មាន	مرشح ـ فلتر	Filtrele	Filtreeri	Фильтр	ფილტრი	Szűrés	Filtro	Filter	过滤选项	Filter
PHP	FILTER_OPTIONS_AND_RESULTS	filter options and results	Filtres: options et résultats	Filtrar opciones y resultados	Saring Hasil dan Pilihan	ជំរើស​និង​លទ្ធផល​នៃ​ការ​ច្រោះ​ពត៌មាន	خيارات ونتائج الترشيح (الفلتر)	Filtreleme seçenekleri ve sonuçlar	filtreeri valikud ja tulemused	опции и результаты фильтра	გაფილვრის ვარიანტები და შედეგები	szűrési opciók és eredmények	opzioni filtro e risultati	Filter opcije i rezultati	过滤选项跟结果	Filter Optionen und Ergebnisse
PHP	FINAL_DATE	Final Date	Date final	Fecha de finalización	Tanggal Akhir	កាលបរិច្ឆេទ​ចុង​ក្រោយ	التاريخ النهائي	Bitiş Tarihi	Lõplik kuupäev	Дата окончания	საბოლოო თარიღი	Végső dátum	Dato Finale	Konačni datum	最终日期	Finales Datum
PHP	FIND_DOCUMENTS_WHICH_HAVE_BEEN_UPLOADED_TO_OPENEVSYS__AND_SEE_HOW_THEY_HAVE_BEEN_LINKED_IN_SUPPORT_OF_OTHER_FORMATS	Find documents which have been uploaded to OpenEvsys, and see how they have been linked in support of other formats	Trouver les documents qui ont été transférés vers OpenEvsys, et voir comment ils ont été liés à d'autres formats	Buscar documentos cargados en OpenEvSys, y ver cómo se han relacionado con otros formatos	Temukan dokumen yang diunggah ke Openevsys dan lihat keterhubungan dengan format lainnya	ស្វែង​រក​ឯកសារ​ដែល​គេ​បាន​ដាក់​បញ្ចូល​ទៅ​ក្នុង​អូផែន​អែវ​ស៊ីស​ ហើយ​មើល​ថាតើគេ​ភ្ជាប់​គ្នា​ដោយ​ទំរង់​ដទៃ​យ៉ាង​ដូច​ម្តេច	اعثر على الوثائق التي تم تحميلها على OpenEvsys وانظر كيف يمكن ربطها لدعم الصيغ الأخرى	Veritabanına yüklenen belgeleri bul ve nasıl diğer formatları destekleyecek şekilde bağlantılandırıldığını gör.	Leia dokumendid, mis on üles laetud OpenEvsys-i ja vaata kuidas need on seotud teiste vormide toetuseks	Найти документы, загруженные на OpenEvsys, и посмотреть, как они были связаны в поддержку других форматов	იპოვეთ დოკუმენტები, რომელიც ჩაიტვირთა   OpenEvsys-ში და შეამოწმეთ თუ როგორ არის ისინი დაკავშირებული სხვა ფორმატებთან	OpenEvsysbe feltöltött dokumentumok keresése és annak megtekintése, hogyan kapcsolódnak más formátumokhoz.	Cerca i documenti che sono stati caricati su OpenEvsys  e guarda come sono stati collegati a sostegno di altri formati	Otvori OpenEvsys i vidi kako su povezani kao podrška drugim formatima	查找已上传到OpenEvsys的文件，查看它们是如何支持被链接的其他格式	Finde Dokumente die bei OpenEvsys hochgeladen wurden und sieh wie diese verlinkt wurden bzgl. Unterstützung anderer Formate
PHP	FINISH	Finish	Terminer	Terminar	Selesai	បញ្ចប់	إنهاء	Bitir	Lõpeta	Закончить	დასრულება	Befejezés  	Fine	Završeno	完成	Beenden
PHP	FINISHED__YOU_CAN_DO_THE_FOLLOWING	Finished! You can do the following	Terminé! Vous pouvez faire ce qui suit :	¡Listo! Ahora puede hacer lo siguiente	Selesai! Anda dapat melakukan	ចប់! អ្នក​អាច​ធ្វើ​កិច្ច​ការខាង​ក្រោម​បាន	انتهى! يمكنك القيام بما يلي	Bitti! Şimdi şunu yapabilirsiniz	Lõpetatud! Nüüd saad toimida järgmiselt	Готово! Вы можете сделать следующее	დასრულებულია! თქვენ შეგიძლიათ გააკეთოთ შემდეგი	Befejezve! A következő lehetőségeid vannak	Finito! Puoi passare al prossimo	Završeno! Možete da uradite sledeće	完成了！可以进行以下	Beendet! Du kannst Folgendes tun
PHP	FINISHED__YOU_CAN_DO_THE_FOLLOWING_	Finished! You can do the following:	Terminé! Vous pouvez faire ce qui suit :	¡Listo! Ahora puede hacer lo siguiente:	Selesai! Anda dapat melakukan:	ចប់! អ្នក​អាច​ធ្វើ​កិច្ច​ការខាង​ក្រោម​បាន	انتهى! يمكنك القيام بما يلي:	Bitti! Şimdi şunu yapabilirsiniz:	Lõpetatud! Nüüd saad toimida järgmiselt:	Готово! Вы можете сделать следующее:	დასრულებულია! თქვენ შეგიძლიათ გააკეთოთ შემდეგი	Befejezve! A következő lehetőségeid vannak:	Finito! Puoi passare al prossimo	Završeno! Možete da uradite sledeće:	完成了！可以进行以下：	Beendet! Du kannst Folgendes tun:
PHP	FIRST_NAME	First Name	Prénom	Nombre de pila	Nama Depan	នាម​ខ្លួន	الاسم الأول	İsim	Eesnimi	Имя	სახელი	Keresztnév	Nome 	Ime	名字	Vorname
PHP	FOLDER_ALREADY_EXISTS__GIVE_IT_A_DIFFERENT_NAME_	Folder already exists! Give it a different name.	Le dossier existe déjà! Donnez-lui un nom différent.	¡Esta carpeta ya existe! Asígnele un nombre diferente	Folder sudah ada. Gunakan nama lain	សំណុំ​ឯកសារ​នេះ​បាន​រួច​មក​ហើយ។​ សូម​ប្រើ​ឈ្មោះ​ផ្សេងទៀត។	المجلد موجود من قبل! امنحه اسما آخر.	Bu isimde bir klasör zaten var! Başka bir isim verin.	Kaust juba eksisteerib! Anna sellele teine nimi.	Папка уже существует! Дайте ей другое имя.	ფოლდერი უკვე არსებობს! მიანიჭეთ მას სხვა სახელი	A mappa már létezik. Válassz másik nevet!	La cartella esiste già! Assegna un nome differente	Folder već postoji! Dajte folderu drugo ime.	文件夹已存在！另给一个不同的名字。	Ordner existiert bereits! Verwende einen anderen Namen.
PHP	FOLDER_NAME	Folder name	Nom du dossier	Nombre de carpeta	Nama Folder	ឈ្មោះ​ហ្វូលដឺ	اسم المجلد	Klasör adı	Kausta nimi	Имя папки	ფოლდერის სახელი	Mappa neve	Nome cartella	Ime foldera	文件夹名字	Ordner Name einfügen:
JS	FOLLOWING_FIELDS_CAN_NOT_BE_EMPTY	The following fields can not be empty	Les champs suivants ne peuvent pas être vide	Las siguientes campos no puede estar vacío	Field ini tidak boleh kosong	ខ្ទង់​ខាង​ក្រោម​នេះ​មិន​អាច​ទទេរ​បានទេ។	لا يجوز أن تكون الخانات التالية فارغة	Bu alanlar boş olamaz	Järgmised väljad ei tohi olla tühjad	Следующие поля не могут быть пустыми	შემდეგი მინდვრები არ შეიძლება იყოს ცარიელი	A következő mezők nem lehetnek üresek	Se una Evento/Persona è Riservato?	Ova polja ne mogu ostati prazna	以下的栏目一定要填	Folgende Felder können nicht gelöscht werden
PHP	FOLLOWING_HURITERM_ALREADY_EXIST_	The following huriterm already exist.	Le huriterm suivant existe déjà	El siguiente huriterm ya existe	Huriterm sudah ada	Following huriterm already exist.	مصطلاحات هوريدكس  huriterm   التالية موجودة من قبل	Bu terim zaten var.	Järgnev huritermin juba eksisteerib	Следующий huriterm уже существует.	შემდეგი huriterm უკვე არსებობს	A következő huriterm már létezik.	Il seguente huriterm esiste già	Ovaj huritem već postoji.	以下 huriterm 已存在。	Folgender Huriterm existiert schon.
PHP	FORCE_DELETE	Force Delete	Forcer la suppression	Borrar todos los archivos	Hapus Paksa	លុប​ចោល​ដោយ​បង្ខំ	حذف قسري	Silmeye Zorla	Sunni kustutamine	Принудительное удаление	იძულებითი წაშლა	Törlés kényszerítése	Cancellazione Forzata	Naredi brisanje	强制删除	Löschen erzwingen
PHP	FORM	Form	Formulaire	Formulario	Formulir	ទំរង់	نموذج	Form	Vorm	Форма	ფორმა	Űrlap	Modulo	Obrazac	表格	Formular
PHP	FORM_CUSTOMIZATION	Form customization	Personnalisation des formulaires	Personalización de los formularios	Formulir Kustomisasi	ទំរង់សំរាប់​ធ្វើ​ការ​រៀបចំ	تخصيص النموذج	Formları Düzenle	Vormi kohandamine	Настройки формы	ფორმის  აწყობა (დაყენება)	Űrlap testreszabása	Personalizzazione Modulo	Prilagođavanje obrasca	表格定制	Anpassung Formular
PHP	FURTHER_INFORMATION	Further Information	Pour plus d'informations	Más información	Informasi selanjutnya	ពត៌មាន​បន្ថែម	معلومات إضافية	Diğer Bilgiler	Lisainformatsioon	Дополнительная информация	შემდგომი ინფორმაცია	További információ	Ulteriori Informazioni	Dodatne informacije	更多信息	Weiterführende Information
PHP	GO_TO_PARENT_LEVEL	Go to parent level	Aller au niveau supérieur	Ir al nivel superior de jerarquía	Ke tingkat sebelumnya	ទៅ​កាន់​កំរិត​ធំ​បំផុត	الرجوع إلى مستوى الأصل	Üst seviyeye git	Mine ematasemele	Перейти к верхнему уровню	გადადით ძირითად დონეზე	Szülő szintre ugrás	Vai al livello superiore	Idi na parent nivo	去到父母级	Gehe zu ursprünglichem Level
JS	GROUP_BY_DAY	Group by Day	Grouper par jour	Agrupar por Día	Kelompokkan berdasarkan Hari	កំណតក្រុម​តាម​ថ្ងៃ	وضع في مجموعات حسب اليوم	Güne göre grupla	Rühmita päevade järgi	Группировать по дням	დაჯგუფება დღის მიხედვით	Nap szerinti csoportosítás	Raggruppa per Giorno	Grupiši prema danu	用日子进行分组	Sortiere nach Tagen
